tid,at1ay,at1by,at1cy,at1dy,at1ey,at1fy,at1gy,at1hy,at1iy,at1jy,at1ky,at1ly,at2,X3A_AGAIN,X3B_12MO,X3C_STR,SATISFACTION,COMPETENCE,EMOEXHAUST,X12_ED,X13_ECE,X18_PD12,X19_PDR,pro33,pro36angrand,pro36bn,pro36cn,pro36dn,pro36en,pro36fn,pro36gn,ay40n,ay43,race,black,other,hispanic,ay44,ay47n,ay45,ay48,age2015,FCMT,zat3cmt,zat3stress,zat4stressor,znnstress,znndep,zegapp,zegsup,zsocdes,zcopact,zcopins,zcopplan,zcopactplan,zcop_mean,zfam,znnfam,znnclose,znnconflict,znnconflict7,zctrp,zdiscip,Zpduse,Zpdavailability,zmotiv1,zmotiv2,zcbelief1,zcbelief2,zgeff,zfamfct,zchaos,zccpmr,zccee,zccpf,zccsocpos,zccsocneg,STRESS.agg,FAM.agg,CONFLICT.agg,CLOSENESS.agg,CCNES.enc.agg,CCNES.neg.agg,CCNES.pos.agg,CCNES.enc.box
10010,0,1,0,0,0,0,1,1,0,0,0,1,1,5,5,5,7,7,5,3,1,1,1,0,NA,8,8,1,1,1,2,1,2,4,0,0,1,4,1,8,8,50,4,5,2.666666667,3.75,25,14,3.833333333,3.75,7,4,2,3.5,3.75,3.166666667,3.5,21,34,16,15,5,5,5,5,5,4.6,3.5,3.6,3.2,3.909090909,1.875,2.375,7,6.666666667,6.714285714,5,2.375,3.5,2,4.857142857,6.6,2.375,6.625,28.42391105
110012,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,4,7,7,3,1,1,0,1,2,6,6,1,1,1,0,1,2,1,0,0,0,1,NA,5,10,35,3,5,1.333333333,3,8,3,7,4,8,4,4,4,4,4,4,24,35,13,12,5,5,5,5,4,3.4,3,3.4,5,4,1.3125,1.375,7,6.666666667,7,4.75,1.125,4,1.625,5,6.6,1.375,6.625,28.42391105
110015,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,7,7,5,2,1,1,1,1,0,5,5,0,1,0,0,1,2,1,0,0,0,1,0,6,10,59,4,5,3.8,2.666666667,8,2,4,2.5,9,4,4,4,4,4,4,24,35,14,13,2.666666667,3.5,3,5,2.5,2.4,2.75,3.2,4,3.272727273,1.75,1.25,6.4,5.666666667,7,6,3.375,4,1.75,5,5.6,1.25,5.5,19.66374058
110020,0,0,0,0,0,0,0,0,0,0,1,1,NA,3,1,2,4,3,6,5,1,1,1,0,3,7,9,0,1,1,0,1,2,1,0,0,0,1,0,3,11,43,NA,2,2.666666667,3.555555556,20,5,5.333333333,4.25,0,3,1.5,3.5,3.25,2.666666667,3,18,31,27,22,3.333333333,3.666666667,4,2.5,2.5,2.4,5,5,4,3.454545455,1.625,1.75,6,5.666666667,6,2.5,3,3,3.375,4.428571429,5.4,1.75,5.625,18.1168095
110025,0,1,0,1,1,0,0,0,1,0,0,0,1,5,5,5,7,7,3,2,0,1,0,1,0,4,4,1,0,0,0,1,2,1,0,0,0,4,0,6,6,43,4,5,1,2.5,10,0,4.833333333,2.5,8,3,2,3,3,2.666666667,3.5,21,33,16,15,2.666666667,4,5,5,5,4.6,3.5,3.8,4.4,3.636363636,2.25,1.25,7,7,6.571428571,4.5,0.625,3.5,2,4.714285714,6.2,1.25,7,24.71289421
110079,0,1,0,0,0,0,1,0,0,0,0,0,4,5,5,1,7,7,1,2,0,0,0,1,0,NA,6,NA,1,0,0,1,2,1,0,0,0,1,1,NA,NA,58,1,3.666666667,NA,1,5,0,6.5,5.25,8,4,4,3.5,3.75,3.833333333,4,24,35,13,12,4.333333333,5,NA,NA,NA,1,4.75,4.8,2.6,3.909090909,1.0625,1.75,6.2,6.111111111,5,6.75,0,4,1.625,5,5.6,1.75,6.125,19.66374058
120006,0,1,0,0,1,0,0,0,0,0,0,1,1,5,5,5,6,7,2,7,1,1,1,1,2,9,8,0,1,1,0,1,2,1,0,0,0,NA,0,NA,NA,NA,4,5,1.166666667,1.555555556,7,1,6.166666667,1,7,3,3,3,3,3,3,18,35,8,7,3.666666667,5,3,4,3.75,3.6,3.5,3.8,4.8,3.909090909,1.4375,1,6.8,6.777777778,7,2.5,1.25,3,1,5,5.8,1,6.75,21.27841576
120033,0,1,0,1,0,1,0,0,0,0,0,1,1,5,4,5,5,5,7,5,1,0,0,1,3,12,10,0,0,0,0,1,5,2,1,0,0,5,0,4,4,41,4,4.666666667,3.333333333,3.625,17,8,5.333333333,5,7,4,3,4,4,3.666666667,2.666666667,16,33,25,24,3.666666667,4.666666667,4,3.5,3.5,3.2,3.75,4,4.6,3.545454545,2.625,1.125,5.6,5.777777778,5.428571429,5.5,3,2.666666667,3.125,4.714285714,5,1.125,5.875,15.2242007
120034,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,7,2,5,0,1,1,1,1,8,8,NA,1,NA,0,1,2,1,0,0,0,5,0,9,10,43,3,1,2.333333333,2.777777778,7,1,4.833333333,3.5,8,4,3,4,4,3.666666667,3.5,21,33,18,17,5,5,3.5,3.5,3.25,3.2,3.75,4,3,4,1.1875,2.25,4.8,6.222222222,6.428571429,6,2.625,3.5,2.25,4.714285714,4.4,2.25,6.375,11.38058931
120041,0,1,0,1,1,0,0,0,0,0,0,1,1,5,5,5,7,7,1,3,1,1,1,1,0,6,6,0,0,0,0,1,2,1,0,0,0,5,0,9,9,57,4,5,2,3,7,0,6.166666667,3.5,9,4,4,4,4,4,4,24,35,9,8,5,5,5,4,4,3.8,4.75,4.8,4.2,4,1.3125,1,7,7,7,7,1.375,4,1.125,5,6.4,1,7,26.53361366
120064,0,1,0,0,0,1,0,0,1,1,0,1,1,3,5,5,6,6,2,5,1,0,1,0,NA,8,8,0,0,0,0,1,2,1,0,0,0,1,0,10,12,52,4,4.333333333,2,2.222222222,8,2,4.666666667,3.75,8,2.5,2.5,2.5,2.5,2.5,3.5,21,30,23,22,2.666666667,4,3,3.5,3,2.8,3.75,3.8,3.6,3.454545455,2.125,1.875,3.4,5.222222222,3,5.75,2,3.5,2.875,4.285714286,3.2,1.875,5.125,5.419093825
120073,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5,5,7,7,4,3,1,1,0,1,0,7,8,0,0,0,0,1,2,1,0,0,0,5,1,5,5,53,4,5,1,2.625,10,3,6.5,2,7,4,4,4,4,4,3.166666667,19,35,14,13,5,5,3,4.5,5,4.2,5,5,4.6,3.727272727,2.3125,1.375,6.4,6,6.857142857,6.75,0.625,3.166666667,1.75,5,5.6,1.375,5.875,19.66374058
